,Oligodendrocyte,Glut Otp/Nrn1,Astrocyte,VLMC / fibroblast,Endothelial,Mural (pericyte/SMC),GABA Cacna2d2,ME / meningeal fibroblast,OPC,Microglia,GABA Igf1/Chodl,GABA Gal/Galr1,GABA Cartpt/Glp1r,GABA Nts/Gal,LHA Hcrt (orexin),GABA Nell1/Pcsk5,VMH-like Glut Calb1,GABA Otp/Wfs1,Glut Bcl11b/Prdm12,DMH Grp/Ppp1r17,Glut Prdm8/Cbln1,Glut Synpr/Syt6,VMH-like Glut Tac1,VMH-like Glut Rasgrf2,ARC Pomc,ARC Tac2/Esr1 (KNDy-like),ARC Th/Slc6a3 (TIDA),ARC Agrp/Npy,Oxt/Avp magnocellular,Ependymal,Tanycyte
C185-39: Prdm12.Tcf4.GLU-3,0.5576491835809686,0.67907394945216,0.5892588594040468,0.07210763061245667,0.3479946987392035,0.29494821305100477,0.6918615996798397,0.10177529032687634,0.6298476811420808,0.5062347721365191,0.675130030381529,0.6944968122464888,0.6578481543931607,0.68235511232478,0.6657587845059914,0.6624527526608566,0.765499651854566,0.7366959272580967,0.7655919001802828,0.6790090438884552,0.6626101646392641,0.7270046094218245,0.6984098710237269,0.7222495434915078,0.7295507925228173,0.6373725454568865,0.6535060982784405,0.6501306855065615,0.43985587869006965,0.37089535191589124,0.4650752808435558
C185-3: NSCs,0.4927607873071798,0.6842982135281023,0.5134889121319324,0.017864806352497483,0.27897154437475824,0.2239189324416841,0.6224780147443534,0.10936650921527312,0.5333700004147117,0.42058202090098556,0.5499728206937264,0.581889343585865,0.5203841175286376,0.5832670949578226,0.5486795996823273,0.5780028272149054,0.627670918738335,0.5927442051206882,0.6006405617129975,0.5630065508112102,0.5696075724647502,0.6067799196767278,0.6309672841652271,0.5875184368718479,0.5211265960182864,0.5327102400280193,0.5128020927321922,0.47240875411975347,0.39785185063860407,0.33287096252117176,0.37270474120829394
C185-40: Adcyap1.GLU-3,0.6268546055594764,0.7501002259286342,0.6329551269704178,0.08407545175392223,0.4040342946893409,0.32039617358903727,0.7097945712691522,0.13408640277914022,0.6863713107345781,0.5812617482038089,0.6636811631736861,0.724818889079742,0.719248012195893,0.7255573331639261,0.6822577525340806,0.7002086521184273,0.7866035821110502,0.7664511399206849,0.7283201745195662,0.697808553614838,0.7110463843865262,0.7529328712621256,0.7641795212567637,0.7247324838081975,0.747771811170615,0.6815269850590926,0.6678661977228328,0.6735246979580217,0.46391438378392197,0.36608793699578224,0.4335769819089604
C185-41: Lef1.Mixed.GLU-4,0.5994819871619745,0.7559167009808341,0.6125103662815767,0.054567719493244266,0.37872225673382526,0.30468784076756045,0.7415608461348333,0.11611164110409596,0.6614987553912053,0.5174897538461223,0.7216081964486382,0.7848532870942742,0.7192754246000707,0.7708987747487794,0.7395777152571166,0.7609296581353437,0.7726721283801592,0.7505253539178182,0.706389257565154,0.7401603071241033,0.744747788588302,0.8647692948256718,0.7438965741057962,0.7095206606262432,0.7389297370661189,0.6905232143221839,0.6577389539680053,0.6758965837198385,0.4506016288782556,0.3797888060011478,0.44369556507267266
C185-42: Lhx9.Mixed.GLU-4,0.6079042370799164,0.7624396322694297,0.620886870029488,0.02059003084896142,0.35767531436376876,0.27672446574601617,0.7410839867373523,0.08710037951664178,0.6595933265916869,0.5222050327062349,0.7386850579023423,0.7852130674895133,0.7525421915834754,0.7828004458943792,0.7393310174723795,0.7501464658450052,0.7896065088176305,0.7650737418187249,0.7196533924679172,0.7545492652175946,0.7529246306800277,0.8313334823659406,0.7681847890833574,0.7123486475740674,0.7555563189012545,0.7141733321156758,0.6899493203280475,0.7021675189548694,0.4415093883306877,0.3763019016143492,0.4301632362935844
C185-43: Cped1.Mixed.GLU-4,0.5927911680201301,0.7185022011056605,0.619809071684164,0.08874645167990505,0.41788151204722185,0.3417314841458874,0.7235975209990712,0.12171877306805885,0.6581835944930096,0.5279245943835383,0.7104217979714661,0.7699011584026746,0.6864227848660628,0.7542195942897831,0.6908989392779906,0.748132571616361,0.7569639123680032,0.7471491642691314,0.710731997600039,0.7200149572520794,0.7282818783784527,0.814424569702641,0.7277748118749324,0.7063348222719482,0.73391199022584,0.6986150578520743,0.6512837579924042,0.7009763916892249,0.43265929207073067,0.42442762501556236,0.47025477088277357
C185-44: Lpar1.GLU-4,0.6092092224847413,0.7340378254102488,0.6316704922590534,0.05710982371458751,0.4116574178350454,0.3227722117026282,0.7360680682973589,0.11660961359398057,0.6601228137325448,0.5355161113932734,0.704040485461623,0.7509505714136374,0.6821960318083847,0.7432578788868694,0.7070018886741689,0.7404766822393964,0.7978061643311498,0.7548473109037939,0.7435474620274002,0.7169263828901238,0.7399892695492892,0.7864339456858082,0.7548034815128387,0.7230932400960663,0.7143983614215869,0.6993484453200781,0.6620192802524528,0.6838236080289206,0.45449338441288406,0.3869610304400623,0.4621412767684597
C185-45: Npvf.Rfx4.GLU-4,0.5757199990588123,0.6916621051370926,0.6300257674622438,0.0428074317938516,0.3818639277773361,0.3048904738238659,0.6936821912669644,0.13114308630839241,0.6573673475213911,0.4864914853047752,0.7084497043275777,0.7600935933956785,0.6661563027079552,0.7027775795537775,0.8100418251605328,0.6979505209969974,0.7104140348474368,0.7143437470440642,0.6762997733254228,0.7093333971425806,0.697654613707828,0.7723704730219909,0.6723093380833501,0.6569879646533145,0.708971768907929,0.6795196864647595,0.6697803297828124,0.645985490556883,0.4733365379767744,0.4223581644199052,0.4637329858561122
C185-46: Qrfp.Rfx4.GLU-4,0.5845649677048332,0.7033261472240095,0.6394242240106099,0.026153252751571883,0.3707195358009718,0.29856556761600256,0.6980655529060223,0.13477861745672992,0.6491066124598939,0.507434302283007,0.7298502982414867,0.7472650752077287,0.6681033786592099,0.6996526415718974,0.8316338223299901,0.6998642438353543,0.7290436161950873,0.7214010821154093,0.6830111238067922,0.7101004620265347,0.7445820061086474,0.7660661238594816,0.6940428558073971,0.6838609540566141,0.7317231687105669,0.6783601013308678,0.6926670899617657,0.6476391520785729,0.5168827401570508,0.4164792288091693,0.4794826441927414
C185-47: Hcrt.Rfx4.GLU-4,0.5970041310159712,0.6691069700783019,0.61683802215274,0.07259366970942023,0.3933052893138773,0.31945322348542343,0.6634046331187166,0.15838210482185666,0.6710843326947946,0.5187505567853483,0.7089085503765229,0.727476427872364,0.639873982111691,0.6806425424898324,0.8750001149115241,0.6721038641526105,0.677435071962469,0.6844307419246897,0.6307966550224895,0.663684524653831,0.6759169991202425,0.7486607806080283,0.6473949269994579,0.6269432944936787,0.7045648776439365,0.6544763547860578,0.64314223723125,0.6088986166839148,0.4756276087054189,0.40551641223438895,0.453195994702588
