,lfc,blocks,p,margin,lfc_B1,lfc_B2,lfc_B3,lfc_B4
Gjc3,-0.21320605,3,0.5428571428571428,-0.7449789,-0.24053669,-1.2383957,-0.118870735,0.7449789
Gng12,0.14826393,2,0.7142857142857143,-0.487998,0.31687737,-0.096800804,-0.2789526,0.65193176
Grik3,0.19014454,2,0.7428571428571429,-0.8978176,1.1233253,0.1069479,-0.25243664,-0.21725845
Gsg1l,-0.7506156,3,0.22857142857142856,-0.36358452,-1.9142017,-0.9376745,0.09930229,-0.24988842
Gucy1a1,-0.0063056946,2,1.0,-0.4634657,0.2664852,-0.24759102,0.2897253,-0.33384228
Hat1,0.36648083,4,0.02857142857142857,0.24578953,0.36792564,0.56497383,0.27462292,0.25840092
Hpcal1,0.028598547,2,0.5428571428571428,-0.07553291,-0.0491457,0.08093166,-0.062436104,0.14504433
Id2,-0.20262003,3,0.2,-0.3129902,-0.46597958,-0.45348167,-0.20400906,0.3129902
Igfbp5,0.02352643,1,0.9142857142857143,-0.34076595,0.46148014,-0.13745022,-0.21297741,-0.016946793
Inpp4b,0.032620907,2,0.8,-0.30723,0.473835,0.07825661,-0.21490765,-0.20670033
Kcnh5,-0.025621414,2,0.8285714285714286,-0.5986347,0.0009994507,-0.1704998,-0.08198547,0.14900017
Kctd12,0.24935055,4,0.42857142857142855,-0.46057892,0.9013815,0.0732317,0.0064048767,0.016384125
Kctd8,-0.7401352,4,0.11428571428571428,-0.60464764,-0.522254,-1.5708199,-0.2789631,-0.58850384
Lamp5,1.0576804,3,0.2,-1.20016,0.8900137,1.9197845,-0.105184555,1.5261078
Laptm5,-0.3482201,2,0.4857142857142857,-1.5711956,-0.9169903,0.33428383,0.428607,-1.238781
Lypd6,-0.32263184,3,0.4,-0.81852055,-0.6425171,-0.58314323,-0.28703976,0.22217274
Mapk4,-0.71798015,3,0.08571428571428572,-0.25127792,-1.8183708,-1.0376835,0.25127792,-0.2671442
Mdga1,-0.23802614,4,0.2,-0.3372116,-0.13431072,-0.37467957,-0.26486588,-0.1782484
Myo16,-0.48560643,4,0.08571428571428572,-0.24843693,-0.18033218,-0.9409027,-0.28703976,-0.5341511
Ndst3,-0.35571074,3,0.4,-0.17285156,-1.3273745,-0.076743126,-0.19157696,0.17285156
Ndst4,-0.36979032,3,0.3142857142857143,-0.6518202,-0.49886608,-0.5897465,0.17630291,-0.5668516
Necab1,-0.40454078,4,0.11428571428571428,-0.260334,-0.51888084,-0.6951895,-0.094073296,-0.3100195
Necab2,-0.23027182,2,0.2571428571428571,-0.19829082,-0.37060547,-0.7750912,0.1664362,0.05817318
Nell1,-0.20917487,3,0.2,-0.10468006,-0.4411497,0.10468006,-0.3425789,-0.15765095
Neto2,-0.42350388,4,0.08571428571428572,-0.05035019,-0.7231903,-0.21156693,-0.33615303,-0.42310524
Nostrin,-0.80706,4,0.11428571428571428,-0.28146744,-1.0540743,-0.62894154,-0.6505041,-0.8947201
Npy2r,0.04082942,2,0.8,-1.0018597,-0.005973816,-0.59442806,0.04274082,0.72097874
Nr2f2,0.427598,4,0.02857142857142857,0.033179283,0.6112032,0.15449715,0.6160126,0.32867908
Nrep,-0.03133154,3,0.8285714285714286,-0.22866154,-0.004582405,-0.2115612,0.2662506,-0.17543316
Nrn1,-0.29579973,4,0.08571428571428572,-0.02429676,-0.81217957,-0.07929516,-0.11040211,-0.1813221
Nrp2,-0.024666786,2,0.7428571428571429,-0.17973232,-0.023254395,0.12210941,-0.28187466,0.08435249
Nts,-0.45045352,2,0.22857142857142856,-0.64080715,-1.3569183,-1.0888968,0.64080715,0.0031938553
Ntsr2,0.11257458,2,0.7428571428571429,-0.73839664,-0.29975033,-0.60818195,0.4636507,0.8945799
Nwd2,-0.58635354,4,0.14285714285714285,-0.28455067,-0.85367393,-0.74756336,-0.2315588,-0.51261806
Opalin,-0.86003554,4,0.11428571428571428,-0.2598877,-0.486598,-2.6617913,-0.018566132,-0.27318668
Opn3,-0.5222819,3,0.11428571428571428,-0.33428383,-1.1343021,0.33428383,-0.8490181,-0.44009113
